"","GEOID","sum"
"1",33060,7874.43681644648
"2",42180,1726.1823797822
"3",27580,629.192369900644
"4",44860,6395.27998103015
"5",46780,4980.11782592535
"6",11620,15994.6860951111
"7",38840,8357.43578566611
"8",11860,3315.03733739257
"9",43100,18117.1954904273
"10",30060,8077.68462882936
"11",19540,5664.3612075597
"12",29060,4731.3209069958
"13",18740,6078.16068140417
"14",16380,7728.76980954409
"15",39260,5097.89235377249
"16",17660,20904.9502990329
"17",21840,3081.92519795522
"18",24700,6827.01889613271
"19",25620,28598.4986572177
"20",44740,5202.13064751588
"21",23300,7035.67608837038
"22",16060,22838.8917403817
"23",21140,28987.0356189013
"24",20700,13621.9221202508
"25",42820,9929.30197934061
"26",31980,13377.5121582001
"27",11180,14969.8489396572
"28",22420,53703.2694742382
"29",33180,4244.20591035858
"30",22060,8799.94593768567
"31",26960,7346.84818488359
"32",38260,6029.61743631214
"33",43700,11429.1562635936
"34",43660,7369.04628659145
"35",36220,60825.5283752717
"36",47620,4974.17635033652
"37",30280,6196.88166630268
"38",14420,7702.77908631001
"39",48100,5656.54502276331
"40",36830,7057.76215751329
"41",45660,9383.01651971042
"42",30620,22584.7447506487
"43",38920,16590.7387104362
"44",10980,3883.13665210928
"45",26540,6850.26325434446
"46",45020,4736.05316102512
"47",11660,5564.58834792674
"48",47080,7675.2658335492
"49",42780,3123.39898298774
"50",34780,16812.0375128686
"51",36420,294486.549955085
"52",21980,8616.25917095075
"53",43580,46787.6606294396
"54",10420,95493.6858775914
"55",23060,77184.9093899503
"56",15900,5769.82745798025
"57",11420,6695.95599639416
"58",14300,5883.38977655303
"59",29200,29248.6560017802
"60",47340,4617.54158550501
"61",47660,12025.9273278192
"62",32860,7254.88508457877
"63",20420,5845.14230745237
"64",25700,6286.29688195881
"65",22700,10859.1089927852
"66",49380,6146.7062687017
"67",17540,12026.5730975494
"68",43180,7494.23405878246
"69",27900,35071.8413386643
"70",18420,8037.10572638363
"71",25580,7067.5756187751
"72",11680,8194.99400750175
"73",39380,24439.0693566748
"74",28260,13877.6629296898
"75",36840,5347.35097066686
"76",18460,5363.28309916705
"77",27100,17063.5544720218
"78",37900,67594.5281295739
"79",35900,9107.74001668766
"80",10260,754.782306354493
"81",39740,42488.1576008201
"82",45540,21668.6722781211
"83",18380,6207.77302855253
"84",33580,7289.48647905537
"85",37800,7230.80132896081
"86",28100,22238.6854705065
"87",23140,6335.3837639913
"88",36820,4908.02689959481
"89",31060,3394.97374995798
"90",16100,69208.5931914472
"91",27160,4621.60664512217
"92",35420,13846.1740496755
"93",25880,5375.16242067516
"94",35440,5680.07051392435
"95",40620,7360.48470727354
"96",34220,7305.93273851275
"97",19000,4210.62955111451
"98",31580,10817.015384011
"99",45140,7588.05536849052
"100",32260,7529.03778027743
"101",39540,26482.6840566993
"102",10620,8339.16929601133
"103",44700,84024.1059355289
"104",19580,6486.60820090771
"105",22340,3836.82642965019
"106",46620,5553.44783211816
"107",12860,8133.36314700916
"108",21300,8622.08955827914
"109",23780,10591.8204959202
"110",48460,6657.8222273849
"111",20340,11507.1843689382
"112",30580,5627.49929823185
"113",44900,3435.65485500544
"114",31860,18179.860439023
"115",23660,11216.518927265
"116",36940,18236.831685327
"117",23460,18630.1746606827
"118",29340,85001.6717788163
"119",15260,22360.9682413526
"120",15500,20028.6820775419
"121",13980,21708.6324753668
"122",48660,29437.5393129741
"123",38740,8775.90321280807
"124",22820,6748.56252274315
"125",43760,5868.58825130531
"126",34420,9137.02706879377
"127",16180,6932.88044722355
"128",15780,9837.79642840009
"129",38620,13394.7525549121
"130",37080,8334.69526273012
"131",28660,63986.3805493112
"132",32580,117713.421168638
"133",31740,16764.1027512181
"134",21780,55451.3323977962
"135",16740,344537.387896106
"136",16500,13070.7149942129
"137",21380,7245.32414784655
"138",27660,9863.10009536147
"139",35840,79945.6632482484
"140",12780,7895.29483273625
"141",17620,1836.91292229295
"142",44020,6983.81752325222
"143",24460,7230.49282355045
"144",32460,5240.84708747268
