"","GEOID","sum"
"1",47920,6341.86374981701
"2",28500,8552.06740522617
"3",22800,16165.5822245665
"4",47340,5467.11007820815
"5",43300,21709.816734083
"6",10660,9110.35677753389
"7",15660,8802.87607239932
"8",32700,9542.74191876687
"9",34780,16092.4193563908
"10",29620,64628.6816167384
"11",38220,24060.8259960136
"12",18820,8857.10486495867
"13",43460,8490.67800663412
"14",34900,12457.8885482699
"15",35260,12420.9368997812
"16",11380,40412.8117544279
"17",43100,17558.5773932934
"18",44620,11157.9246805161
"19",23300,7110.10362116247
"20",10100,18672.3663661443
"21",19260,19148.8784307018
"22",26980,25360.398448281
"23",19220,8249.62048558518
"24",37420,7516.14995124936
"25",34260,5910.43165467225
"26",47420,15600.8752179444
"27",41660,29315.965049406
"28",32260,7514.67894127965
"29",14340,6232.73782517761
"30",35500,8662.15396176279
"31",11900,6327.37766315043
"32",46620,7264.87046292797
"33",28340,7547.27917739749
"34",32280,6788.53158217203
"35",49220,13419.3675428256
"36",20340,13420.0363256633
"37",37340,56584.3479778981
"38",28380,7547.86150415801
"39",16380,8238.97054184973
"40",11780,13513.2010702938
"41",27160,4402.63990208507
"42",30420,9390.187596431
"43",19980,9677.82712772756
"44",31540,75881.6672024578
"45",15620,6568.58782887086
"46",48220,10536.2183095515
"47",31580,12484.1394906454
"48",21120,13000.2595564574
"49",22060,9962.81912876666
"50",36460,9153.90160284285
"51",26960,8398.90645363927
"52",38260,5669.23168209591
"53",13720,10372.4504851829
"54",23700,22519.6381075013
"55",35060,9643.44418942463
"56",43260,7941.18930468907
"57",44580,8191.5323843807
"58",14420,8404.31015959987
"59",30580,6376.98942851683
"60",23980,9853.8956653811
"61",23660,11241.5056742206
"62",34740,18032.8106502742
"63",34380,8540.98383349739
"64",26740,13294.4983973638
"65",30220,8139.87184583396
"66",31820,16034.4594504088
"67",30700,53000.7699349672
"68",15500,21678.1354030967
"69",29200,32193.0911913589
"70",14010,38593.6315765902
"71",10980,4495.63751114346
"72",18880,42910.1377240674
"73",32100,15501.2904892266
"74",38500,7038.21568698436
"75",16340,5821.77324740076
"76",28660,63453.6999093313
"77",25700,6551.39150047582
"78",36860,37985.92920186
"79",17540,12798.4916971996
"80",42780,3748.56598620862
"81",33060,7742.54054272175
"82",44780,8354.3470339179
"83",40820,10008.7500499021
"84",13340,8009.84529966116
"85",47940,35490.0369892195
"86",30900,6894.24804816395
"87",36840,4642.53026067547
"88",44500,8738.30683600251
"89",15740,8982.8103979677
"90",19860,19675.6794555038
"91",46500,5227.968821913
"92",42380,9972.07743955031
"93",37660,4976.34818009473
"94",30820,5526.56038884097
"95",44220,20296.672032088
"96",30060,7659.53329625726
"97",22540,18464.7239589691
"98",43140,14708.1100013405
"99",44740,5797.73417737335
"100",28100,23667.1838757396
"101",25500,16709.8792428467
"102",29940,14193.3121622661
"103",21140,32298.0736152232
"104",26780,8674.86976358294
"105",32580,120658.455928147
"106",22700,11658.4957316294
"107",16660,11918.8274961784
"108",33140,16184.4914870858
"109",44180,86240.6281340104
"110",45580,3931.94665621035
"111",25580,8025.99245725572
"112",18700,6735.67577702575
"113",10820,8088.79914134741
"114",32740,9639.97962313332
"115",39460,21278.1738054785
"116",20420,6553.50905906738
"117",14700,17730.895439422
"118",29500,5343.5477722846
"119",40620,7675.80369224213
"120",33020,6096.12811623886
"121",36940,11852.5211478919
"122",18660,4599.57023935765
"123",18620,14133.8518168926
"124",39540,25471.2451223433
"125",23340,9743.71487816423
"126",21460,8087.44610020518
"127",45020,6107.07519779168
"128",18780,4470.90665595665
"129",32180,5501.66605746598
"130",25260,24334.5888883537
"131",28260,15892.8780174926
"132",19940,7708.95939843357
"133",27100,17875.5394149944
"134",31900,18620.8346183896
"135",20900,12023.6099455729
"136",25300,9687.86822275259
"137",12780,8109.37248045579
"138",32140,8272.11912845075
"139",18380,5344.76140747964
"140",16180,6575.60063935816
"141",35740,16590.9383675531
"142",37020,7522.48958149552
"143",43060,16505.0636738837
"144",11740,7348.04776498675
"145",22580,9234.669234626
"146",26700,6266.37822341849
"147",44340,12216.6682718396
"148",31380,6339.30618290603
"149",31980,13872.1926794648
"150",12380,8884.46208594739
"151",27700,5779.41878041625
"152",16940,26197.3993527044
"153",37120,9955.58188940957
"154",41780,15589.2127205282
"155",19580,6637.79302766919
"156",43700,11189.402925279
"157",36220,51339.3833658844
"158",32000,5701.56946362555
"159",21300,9098.53994084895
"160",34500,11037.8830592036
"161",29020,13465.905067876
"162",46340,34171.5014492422
"163",13300,10207.3154476583
"164",31860,20534.4259314016
"165",25620,30983.7070647762
"166",48580,14384.8761558682
"167",42220,32919.6390940845
"168",19500,24689.0505479351
"169",32220,21933.5710615739
"170",43320,23456.8554811241
"171",36580,6338.0179332532
"172",36380,6116.62980417517
"173",38180,14023.766718009
"174",24940,15064.7569720121
"175",11580,4780.38797546038
"176",45460,35901.3219022565
"177",49780,13783.8948782049
"178",37900,70476.783143349
"179",33300,8648.77223257185
"180",22500,37803.5335121155
"181",16300,48662.3331031017
"182",10740,122948.951583928
"183",20580,12158.2445008978
"184",40860,6167.55073935352
"185",33260,76074.8004749864
"186",19380,121730.700441852
"187",40540,29886.7557293346
"188",27860,30914.2791178115
"189",29740,35153.3012131428
"190",49020,16644.6163752768
"191",43620,53133.4228451997
"192",12260,103774.674256289
"193",20500,70563.1883262694
"194",10460,21047.4315579184
"195",29340,82279.4978663771
"196",22900,49032.6700287857
"197",26820,24827.1681005851
"198",49180,82711.7520496249
"199",49080,29130.9499848335
"200",17660,22675.8446396886
"201",29100,18296.4620754123
"202",45500,36449.8635665812
"203",21780,60756.2311429456
"204",31180,64957.0913413353
"205",17900,125671.102345282
"206",24660,123430.600652605
"207",37580,10370.7039507106
"208",45780,108038.549323156
"209",27540,11777.2954333089
"210",18060,17774.9531150758
"211",27140,123740.058475115
"212",25940,21499.4750948548
"213",36820,5137.40385639668
"214",42540,68432.6498852298
"215",28820,11781.79462827
"216",16100,77315.0600232184
"217",11980,15612.1128020659
"218",47580,34164.178578198
"219",33700,61913.7029442415
"220",36100,38454.1473272245
"221",23780,14537.2104007753
"222",40740,21810.5347489168
"223",39220,5502.9752848239
"224",34140,5018.98057992197
"225",17740,6040.00749065727
"226",38580,10812.3832182735
"227",38420,9476.94228516892
"228",14740,22142.6601532214
"229",20980,12370.576451011
"230",23860,13077.4345411435
"231",18740,6170.03996001929
"232",49820,4993.17729820684
"233",14140,16688.9008063227
"234",47180,9313.61948435009
"235",23940,36387.826849168
"236",11060,7837.29767885804
